CustomerID,Lookalikes
C0001,"[('C0190', np.float64(0.968215451295126)), ('C0048', np.float64(0.9410720811249149)), ('C0181', np.float64(0.9090457490236504))]"
C0002,"[('C0088', np.float64(0.9663574397998078)), ('C0134', np.float64(0.9417092227435143)), ('C0106', np.float64(0.897417999902512))]"
C0003,"[('C0052', np.float64(0.9847977904024423)), ('C0152', np.float64(0.9262643125643457)), ('C0031', np.float64(0.8908812314103668))]"
C0004,"[('C0165', np.float64(0.9711437718179058)), ('C0155', np.float64(0.9620829055324883)), ('C0169', np.float64(0.8873437226586512))]"
C0005,"[('C0186', np.float64(0.9787905419345101)), ('C0146', np.float64(0.9598508342465527)), ('C0007', np.float64(0.9047531872453538))]"
C0006,"[('C0168', np.float64(0.9732537429499296)), ('C0171', np.float64(0.9513382554181677)), ('C0187', np.float64(0.9447449444739173))]"
C0007,"[('C0140', np.float64(0.9764156563035168)), ('C0115', np.float64(0.934222671257929)), ('C0005', np.float64(0.9047531872453538))]"
C0008,"[('C0109', np.float64(0.8700104206236067)), ('C0139', np.float64(0.8117685282119976)), ('C0098', np.float64(0.7892991816476463))]"
C0009,"[('C0010', np.float64(0.9760669630706748)), ('C0198', np.float64(0.9520351377564203)), ('C0062', np.float64(0.9308169602315751))]"
C0010,"[('C0009', np.float64(0.9760669630706748)), ('C0111', np.float64(0.9708504756032534)), ('C0103', np.float64(0.9552968720724648))]"
C0011,"[('C0137', np.float64(0.9611944701177748)), ('C0169', np.float64(0.9203951647051838)), ('C0126', np.float64(0.9178664272707295))]"
C0012,"[('C0104', np.float64(0.9659896786844346)), ('C0113', np.float64(0.9266666313281656)), ('C0195', np.float64(0.907840343168503))]"
C0013,"[('C0099', np.float64(0.9855644363688846)), ('C0108', np.float64(0.9198465159324428)), ('C0141', np.float64(0.8387719059266355))]"
C0014,"[('C0060', np.float64(0.9763044912298496)), ('C0151', np.float64(0.9084845085220971)), ('C0097', np.float64(0.9035777546704962))]"
C0015,"[('C0036', np.float64(0.9803651270659389)), ('C0131', np.float64(0.9746260478193932)), ('C0058', np.float64(0.8355728389274786))]"
C0016,"[('C0183', np.float64(0.9998750016492791)), ('C0067', np.float64(0.9168655516177493)), ('C0042', np.float64(0.7522632809302456))]"
C0017,"[('C0075', np.float64(0.9694478848397573)), ('C0081', np.float64(0.8567347350005199)), ('C0057', np.float64(0.8453541123524987))]"
C0018,"[('C0117', np.float64(0.947351865308591)), ('C0185', np.float64(0.8362687678528234)), ('C0046', np.float64(0.8257522302304171))]"
C0019,"[('C0121', np.float64(0.902523629526074)), ('C0081', np.float64(0.8313225825219901)), ('C0119', np.float64(0.780886877074617))]"
C0020,"[('C0050', np.float64(0.8471955082476953)), ('C0140', np.float64(0.8359805626087087)), ('C0130', np.float64(0.7625116428321821))]"
